año,porcentaje
2006,26.704807437983447
2007,21.397918916575087
2008,26.17982788308443
2009,29.43692681841803
2010,14.948750289899293
2011,29.289334994284378
2012,6.143794623536813
2013,12.067843010405158
2014,20.18623599037001
2015,16.439965494671192
2016,21.642418650984293
2017,15.01064229134253
2018,17.116518712940003
2019,25.357094810165844
2020,24.788002667297988
2021,21.38157660471227
2022,30.580319333317956
2023,30.88079042520334
2024,44.15023453359373
2024,35.114613772915256
2025,37.61164323544734
2026,38.101159405654485
2027,36.45004561858247
2028,35.9549009487627
2029,35.73449885075221
2030,36.890452140230124
2031,36.954298070007574
2032,35.148144779143166
2033,35.98945380350652
2034,35.27956201464675
2035,36.59156821217789
2036,35.9999556818608
2037,35.85982282313894
2038,35.92374951703517
2039,34.68980294324171
2040,34.62262693243166
2041,35.37558430548424
2042,34.990737255149526
2043,35.71370079295474
2044,35.45295739004453
2045,35.81456084084355
